date,district,Average of centy,Average of centx
2019-07-01,Belet Weyne,4.724339,45.37965
2019-08-01,Belet Weyne,4.724339,45.37965
2019-09-01,Belet Weyne,4.724339,45.37965
2019-10-01,Belet Weyne,4.724339,45.37965
2019-11-01,Belet Weyne,4.724339,45.37965
2019-12-01,Belet Weyne,4.724339,45.37965
2020-01-01,Belet Weyne,4.724339,45.37965
2020-02-01,Belet Weyne,4.724339,45.37965
2016-02-01,Belet Xaawo,3.435586,41.7337
2016-03-01,Belet Xaawo,3.435586,41.7337
2016-04-01,Belet Xaawo,3.435586,41.7337
2016-05-01,Belet Xaawo,3.435586,41.7337
2016-06-01,Belet Xaawo,3.435586,41.7337
2016-07-01,Belet Xaawo,3.435586,41.7337
2016-08-01,Belet Xaawo,3.435586,41.7337
2016-09-01,Belet Xaawo,3.435586,41.7337
2016-10-01,Belet Xaawo,3.435586,41.7337
2016-11-01,Belet Xaawo,3.435586,41.7337
2016-12-01,Belet Xaawo,3.435586,41.7337
2017-01-01,Belet Xaawo,3.435586,41.7337
2017-02-01,Belet Xaawo,3.435586,41.7337
2017-03-01,Belet Xaawo,3.435586,41.7337
2017-04-01,Belet Xaawo,3.435586,41.7337
2017-05-01,Belet Xaawo,3.435586,41.7337
2017-06-01,Belet Xaawo,3.435586,41.7337
2017-07-01,Belet Xaawo,3.435586,41.7337
2017-08-01,Belet Xaawo,3.435586,41.7337
2017-09-01,Belet Xaawo,3.435586,41.7337
2017-10-01,Belet Xaawo,3.435586,41.7337
2017-11-01,Belet Xaawo,3.435586,41.7337
2017-12-01,Belet Xaawo,3.435586,41.7337
2018-01-01,Belet Xaawo,3.435586,41.7337
2018-02-01,Belet Xaawo,3.435586,41.7337
2018-03-01,Belet Xaawo,3.435586,41.7337
2018-04-01,Belet Xaawo,3.435586,41.7337
2018-05-01,Belet Xaawo,3.435586,41.7337
2018-06-01,Belet Xaawo,3.435586,41.7337
2018-07-01,Belet Xaawo,3.435586,41.7337
2018-08-01,Belet Xaawo,3.435586,41.7337
2018-09-01,Belet Xaawo,3.435586,41.7337
2018-10-01,Belet Xaawo,3.435586,41.7337
2018-11-01,Belet Xaawo,3.435586,41.7337
2018-12-01,Belet Xaawo,3.435586,41.7337
2019-01-01,Belet Xaawo,3.435586,41.7337
2019-02-01,Belet Xaawo,3.435586,41.7337
2019-03-01,Belet Xaawo,3.435586,41.7337
2019-04-01,Belet Xaawo,3.435586,41.7337
2019-05-01,Belet Xaawo,3.435586,41.7337
2019-06-01,Belet Xaawo,3.435586,41.7337
2019-07-01,Belet Xaawo,3.435586,41.7337
2019-08-01,Belet Xaawo,3.435586,41.7337
2019-09-01,Belet Xaawo,3.435586,41.7337
2019-10-01,Belet Xaawo,3.435586,41.7337
2019-11-01,Belet Xaawo,3.435586,41.7337
2019-12-01,Belet Xaawo,3.435586,41.7337
2020-01-01,Belet Xaawo,3.435586,41.7337
2020-02-01,Belet Xaawo,3.435586,41.7337
2016-02-01,Berbera,10.35884,45.28606
2016-03-01,Berbera,10.35884,45.28606
2016-04-01,Berbera,10.35884,45.28606
2016-05-01,Berbera,10.35884,45.28606
2016-06-01,Berbera,10.35884,45.28606
2016-07-01,Berbera,10.35884,45.28606
2016-08-01,Berbera,10.35884,45.28606
2016-09-01,Berbera,10.35884,45.28606
2016-10-01,Berbera,10.35884,45.28606
2016-11-01,Berbera,10.35884,45.28606
2016-12-01,Berbera,10.35884,45.28606
2017-01-01,Berbera,10.35884,45.28606
2017-02-01,Berbera,10.35884,45.28606
2017-03-01,Berbera,10.35884,45.28606
2017-04-01,Berbera,10.35884,45.28606
2017-05-01,Berbera,10.35884,45.28606
2017-06-01,Berbera,10.35884,45.28606
2017-07-01,Berbera,10.35884,45.28606
2017-08-01,Berbera,10.35884,45.28606
2017-09-01,Berbera,10.35884,45.28606
2017-10-01,Berbera,10.35884,45.28606
2017-11-01,Berbera,10.35884,45.28606
2017-12-01,Berbera,10.35884,45.28606
2018-01-01,Berbera,10.35884,45.28606
2018-02-01,Berbera,10.35884,45.28606
2018-03-01,Berbera,10.35884,45.28606
2018-04-01,Berbera,10.35884,45.28606
2018-05-01,Berbera,10.35884,45.28606
2018-06-01,Berbera,10.35884,45.28606
2018-07-01,Berbera,10.35884,45.28606
2018-08-01,Berbera,10.35884,45.28606
2018-09-01,Berbera,10.35884,45.28606
2018-10-01,Berbera,10.35884,45.28606
2018-11-01,Berbera,10.35884,45.28606
2018-12-01,Berbera,10.35884,45.28606
2019-01-01,Berbera,10.35884,45.28606
2019-02-01,Berbera,10.35884,45.28606
2019-03-01,Berbera,10.35884,45.28606
2019-04-01,Berbera,10.35884,45.28606
2019-05-01,Berbera,10.35884,45.28606
2019-06-01,Berbera,10.35884,45.28606
2019-07-01,Berbera,10.35884,45.28606
2019-08-01,Berbera,10.35884,45.28606
2019-09-01,Berbera,10.35884,45.28606
2019-10-01,Berbera,10.35884,45.28606
2019-11-01,Berbera,10.35884,45.28606
2019-12-01,Berbera,10.35884,45.28606
2020-01-01,Berbera,10.35884,45.28606
2020-02-01,Berbera,10.35884,45.28606
2016-02-01,Borama,10.18763,43.17024
2016-03-01,Borama,10.18763,43.17024
2016-04-01,Borama,10.18763,43.17024
2016-05-01,Borama,10.18763,43.17024
2016-06-01,Borama,10.18763,43.17024
2016-07-01,Borama,10.18763,43.17024
2016-08-01,Borama,10.18763,43.17024
2016-09-01,Borama,10.18763,43.17024
2016-10-01,Borama,10.18763,43.17024
2016-11-01,Borama,10.18763,43.17024
2016-12-01,Borama,10.18763,43.17024
2017-01-01,Borama,10.18763,43.17024
2017-02-01,Borama,10.18763,43.17024
2017-03-01,Borama,10.18763,43.17024
2017-04-01,Borama,10.18763,43.17024
2017-05-01,Borama,10.18763,43.17024
2017-06-01,Borama,10.18763,43.17024
2017-07-01,Borama,10.18763,43.17024
2017-08-01,Borama,10.18763,43.17024
2017-09-01,Borama,10.18763,43.17024
2017-10-01,Borama,10.18763,43.17024
2017-11-01,Borama,10.18763,43.17024
2017-12-01,Borama,10.18763,43.17024
2018-01-01,Borama,10.18763,43.17024
2018-02-01,Borama,10.18763,43.17024
2018-03-01,Borama,10.18763,43.17024
2018-04-01,Borama,10.18763,43.17024
2018-05-01,Borama,10.18763,43.17024
2018-06-01,Borama,10.18763,43.17024
2018-07-01,Borama,10.18763,43.17024
2018-08-01,Borama,10.18763,43.17024
2018-09-01,Borama,10.18763,43.17024
2018-10-01,Borama,10.18763,43.17024
2018-11-01,Borama,10.18763,43.17024
2018-12-01,Borama,10.18763,43.17024
2019-01-01,Borama,10.18763,43.17024
2019-02-01,Borama,10.18763,43.17024
2019-03-01,Borama,10.18763,43.17024
2019-04-01,Borama,10.18763,43.17024
2019-05-01,Borama,10.18763,43.17024
2019-06-01,Borama,10.18763,43.17024
2019-07-01,Borama,10.18763,43.17024
2019-08-01,Borama,10.18763,43.17024
2019-09-01,Borama,10.18763,43.17024
2019-10-01,Borama,10.18763,43.17024
2019-11-01,Borama,10.18763,43.17024
2019-12-01,Borama,10.18763,43.17024
2020-01-01,Borama,10.18763,43.17024
2020-02-01,Borama,10.18763,43.17024
2016-02-01,Bossaso,10.9218,49.39968
2016-03-01,Bossaso,10.9218,49.39968
2016-04-01,Bossaso,10.9218,49.39968
2016-05-01,Bossaso,10.9218,49.39968
2016-06-01,Bossaso,10.9218,49.39968
2016-07-01,Bossaso,10.9218,49.39968
2016-08-01,Bossaso,10.9218,49.39968
2016-09-01,Bossaso,10.9218,49.39968
2016-10-01,Bossaso,10.9218,49.39968
2016-11-01,Bossaso,10.9218,49.39968
2016-12-01,Bossaso,10.9218,49.39968
2017-01-01,Bossaso,10.9218,49.39968
2017-02-01,Bossaso,10.9218,49.39968
2017-03-01,Bossaso,10.9218,49.39968
2017-04-01,Bossaso,10.9218,49.39968
2017-05-01,Bossaso,10.9218,49.39968
2017-06-01,Bossaso,10.9218,49.39968
2017-07-01,Bossaso,10.9218,49.39968
2017-08-01,Bossaso,10.9218,49.39968
2017-09-01,Bossaso,10.9218,49.39968
2017-10-01,Bossaso,10.9218,49.39968
2017-11-01,Bossaso,10.9218,49.39968
2017-12-01,Bossaso,10.9218,49.39968
2018-01-01,Bossaso,10.9218,49.39968
2018-02-01,Bossaso,10.9218,49.39968
2018-03-01,Bossaso,10.9218,49.39968
2018-04-01,Bossaso,10.9218,49.39968
2018-05-01,Bossaso,10.9218,49.39968
2018-06-01,Bossaso,10.9218,49.39968
2018-07-01,Bossaso,10.9218,49.39968
2018-08-01,Bossaso,10.9218,49.39968
2018-09-01,Bossaso,10.9218,49.39968
2018-10-01,Bossaso,10.9218,49.39968
2018-11-01,Bossaso,10.9218,49.39968
2018-12-01,Bossaso,10.9218,49.39968
2019-01-01,Bossaso,10.9218,49.39968
2019-02-01,Bossaso,10.9218,49.39968
2019-03-01,Bossaso,10.9218,49.39968
2019-04-01,Bossaso,10.9218,49.39968
2019-05-01,Bossaso,10.9218,49.39968
2019-06-01,Bossaso,10.9218,49.39968
2019-07-01,Bossaso,10.9218,49.39968
2019-08-01,Bossaso,10.9218,49.39968
2019-09-01,Bossaso,10.9218,49.39968
2019-10-01,Bossaso,10.9218,49.39968
2019-11-01,Bossaso,10.9218,49.39968
2019-12-01,Bossaso,10.9218,49.39968
2020-01-01,Bossaso,10.9218,49.39968
2020-02-01,Bossaso,10.9218,49.39968
2016-02-01,Bu'aale,1.197985,42.7408
2016-03-01,Bu'aale,1.197985,42.7408
2016-04-01,Bu'aale,1.197985,42.7408
2016-05-01,Bu'aale,1.197985,42.7408
2016-06-01,Bu'aale,1.197985,42.7408
2016-07-01,Bu'aale,1.197985,42.7408
2016-08-01,Bu'aale,1.197985,42.7408
2016-09-01,Bu'aale,1.197985,42.7408
2016-10-01,Bu'aale,1.197985,42.7408
2016-11-01,Bu'aale,1.197985,42.7408
2016-12-01,Bu'aale,1.197985,42.7408
2017-01-01,Bu'aale,1.197985,42.7408
2017-02-01,Bu'aale,1.197985,42.7408
2017-03-01,Bu'aale,1.197985,42.7408
2017-04-01,Bu'aale,1.197985,42.7408
2017-05-01,Bu'aale,1.197985,42.7408
2017-06-01,Bu'aale,1.197985,42.7408
2017-07-01,Bu'aale,1.197985,42.7408
2017-08-01,Bu'aale,1.197985,42.7408
2017-09-01,Bu'aale,1.197985,42.7408
2017-10-01,Bu'aale,1.197985,42.7408
2017-11-01,Bu'aale,1.197985,42.7408
2017-12-01,Bu'aale,1.197985,42.7408
2018-01-01,Bu'aale,1.197985,42.7408
2018-02-01,Bu'aale,1.197985,42.7408
2018-03-01,Bu'aale,1.197985,42.7408
2018-04-01,Bu'aale,1.197985,42.7408
2018-05-01,Bu'aale,1.197985,42.7408
2018-06-01,Bu'aale,1.197985,42.7408
2018-07-01,Bu'aale,1.197985,42.7408
2018-08-01,Bu'aale,1.197985,42.7408
2018-09-01,Bu'aale,1.197985,42.7408
2018-10-01,Bu'aale,1.197985,42.7408
2018-11-01,Bu'aale,1.197985,42.7408
2018-12-01,Bu'aale,1.197985,42.7408
2019-01-01,Bu'aale,1.197985,42.7408
2019-02-01,Bu'aale,1.197985,42.7408
2019-03-01,Bu'aale,1.197985,42.7408
2019-04-01,Bu'aale,1.197985,42.7408
2019-05-01,Bu'aale,1.197985,42.7408
2019-06-01,Bu'aale,1.197985,42.7408
2019-07-01,Bu'aale,1.197985,42.7408
2019-08-01,Bu'aale,1.197985,42.7408
2019-09-01,Bu'aale,1.197985,42.7408
2019-10-01,Bu'aale,1.197985,42.7408
2019-11-01,Bu'aale,1.197985,42.7408
2019-12-01,Bu'aale,1.197985,42.7408
2020-01-01,Bu'aale,1.197985,42.7408
2020-02-01,Bu'aale,1.197985,42.7408
2016-02-01,Bulo Burto,3.900063,45.53233
2016-03-01,Bulo Burto,3.900063,45.53233
2016-04-01,Bulo Burto,3.900063,45.53233
2016-05-01,Bulo Burto,3.900063,45.53233
2016-06-01,Bulo Burto,3.900063,45.53233
2016-07-01,Bulo Burto,3.900063,45.53233
2016-08-01,Bulo Burto,3.900063,45.53233
2016-09-01,Bulo Burto,3.900063,45.53233
2016-10-01,Bulo Burto,3.900063,45.53233
2016-11-01,Bulo Burto,3.900063,45.53233
2016-12-01,Bulo Burto,3.900063,45.53233
2017-01-01,Bulo Burto,3.900063,45.53233
2017-02-01,Bulo Burto,3.900063,45.53233
2017-03-01,Bulo Burto,3.900063,45.53233
2017-04-01,Bulo Burto,3.900063,45.53233
2017-05-01,Bulo Burto,3.900063,45.53233
2017-06-01,Bulo Burto,3.900063,45.53233
2017-07-01,Bulo Burto,3.900063,45.53233
2017-08-01,Bulo Burto,3.900063,45.53233
2017-09-01,Bulo Burto,3.900063,45.53233
2017-10-01,Bulo Burto,3.900063,45.53233
2017-11-01,Bulo Burto,3.900063,45.53233
2017-12-01,Bulo Burto,3.900063,45.53233
2018-01-01,Bulo Burto,3.900063,45.53233
2018-02-01,Bulo Burto,3.900063,45.53233
2018-03-01,Bulo Burto,3.900063,45.53233
2018-04-01,Bulo Burto,3.900063,45.53233
2018-05-01,Bulo Burto,3.900063,45.53233
2018-06-01,Bulo Burto,3.900063,45.53233
2018-07-01,Bulo Burto,3.900063,45.53233
2018-08-01,Bulo Burto,3.900063,45.53233
2018-09-01,Bulo Burto,3.900063,45.53233
2018-10-01,Bulo Burto,3.900063,45.53233
2018-11-01,Bulo Burto,3.900063,45.53233
2018-12-01,Bulo Burto,3.900063,45.53233
2019-01-01,Bulo Burto,3.900063,45.53233
2019-02-01,Bulo Burto,3.900063,45.53233
2019-03-01,Bulo Burto,3.900063,45.53233
2019-04-01,Bulo Burto,3.900063,45.53233
2019-05-01,Bulo Burto,3.900063,45.53233
2019-06-01,Bulo Burto,3.900063,45.53233
2019-07-01,Bulo Burto,3.900063,45.53233
2019-08-01,Bulo Burto,3.900063,45.53233
2019-09-01,Bulo Burto,3.900063,45.53233
2019-10-01,Bulo Burto,3.900063,45.53233
2019-11-01,Bulo Burto,3.900063,45.53233
2019-12-01,Bulo Burto,3.900063,45.53233
2020-01-01,Bulo Burto,3.900063,45.53233
2020-02-01,Bulo Burto,3.900063,45.53233
2016-02-01,Burco,9.141337,45.75868
2016-03-01,Burco,9.141337,45.75868
2016-04-01,Burco,9.141337,45.75868
2016-05-01,Burco,9.141337,45.75868
2016-06-01,Burco,9.141337,45.75868
2016-07-01,Burco,9.141337,45.75868
2016-08-01,Burco,9.141337,45.75868
2016-09-01,Burco,9.141337,45.75868
2016-10-01,Burco,9.141337,45.75868
2016-11-01,Burco,9.141337,45.75868
2016-12-01,Burco,9.141337,45.75868
2017-01-01,Burco,9.141337,45.75868
2017-02-01,Burco,9.141337,45.75868
2017-03-01,Burco,9.141337,45.75868
2017-04-01,Burco,9.141337,45.75868
2017-05-01,Burco,9.141337,45.75868
2017-06-01,Burco,9.141337,45.75868
2017-07-01,Burco,9.141337,45.75868
2017-08-01,Burco,9.141337,45.75868
2017-09-01,Burco,9.141337,45.75868
2017-10-01,Burco,9.141337,45.75868
2017-11-01,Burco,9.141337,45.75868
2017-12-01,Burco,9.141337,45.75868
2018-01-01,Burco,9.141337,45.75868
2018-02-01,Burco,9.141337,45.75868
2018-03-01,Burco,9.141337,45.75868
2018-04-01,Burco,9.141337,45.75868
2018-05-01,Burco,9.141337,45.75868
2018-06-01,Burco,9.141337,45.75868
2018-07-01,Burco,9.141337,45.75868
2018-08-01,Burco,9.141337,45.75868
2018-09-01,Burco,9.141337,45.75868
2018-10-01,Burco,9.141337,45.75868
2018-11-01,Burco,9.141337,45.75868
2018-12-01,Burco,9.141337,45.75868
2019-01-01,Burco,9.141337,45.75868
2019-02-01,Burco,9.141337,45.75868
2019-03-01,Burco,9.141337,45.75868
2019-04-01,Burco,9.141337,45.75868
2019-05-01,Burco,9.141337,45.75868
2019-06-01,Burco,9.141337,45.75868
2019-07-01,Burco,9.141337,45.75868
2019-08-01,Burco,9.141337,45.75868
2019-09-01,Burco,9.141337,45.75868
2019-10-01,Burco,9.141337,45.75868
2019-11-01,Burco,9.141337,45.75868
2019-12-01,Burco,9.141337,45.75868
2020-01-01,Burco,9.141337,45.75868
2020-02-01,Burco,9.141337,45.75868
2016-02-01,Burtinle,7.802199000000001,48.39912
2016-03-01,Burtinle,7.802199000000001,48.39912
2016-04-01,Burtinle,7.802199000000001,48.39912
2016-05-01,Burtinle,7.802199000000001,48.39912
2016-06-01,Burtinle,7.802199000000001,48.39912
2016-07-01,Burtinle,7.802199000000001,48.39912
2016-08-01,Burtinle,7.802199000000001,48.39912
2016-09-01,Burtinle,7.802199000000001,48.39912
2016-10-01,Burtinle,7.802199000000001,48.39912
2016-11-01,Burtinle,7.802199000000001,48.39912
2016-12-01,Burtinle,7.802199000000001,48.39912
2017-01-01,Burtinle,7.802199000000001,48.39912
2017-02-01,Burtinle,7.802199000000001,48.39912
2017-03-01,Burtinle,7.802199000000001,48.39912
2017-04-01,Burtinle,7.802199000000001,48.39912
2017-05-01,Burtinle,7.802199000000001,48.39912
2017-06-01,Burtinle,7.802199000000001,48.39912
2017-07-01,Burtinle,7.802199000000001,48.39912
2017-08-01,Burtinle,7.802199000000001,48.39912
2017-09-01,Burtinle,7.802199000000001,48.39912
2017-10-01,Burtinle,7.802199000000001,48.39912
2017-11-01,Burtinle,7.802199000000001,48.39912
2017-12-01,Burtinle,7.802199000000001,48.39912
2018-01-01,Burtinle,7.802199000000001,48.39912
2018-02-01,Burtinle,7.802199000000001,48.39912
2018-03-01,Burtinle,7.802199000000001,48.39912
2018-04-01,Burtinle,7.802199000000001,48.39912
2018-05-01,Burtinle,7.802199000000001,48.39912
2018-06-01,Burtinle,7.802199000000001,48.39912
2018-07-01,Burtinle,7.802199000000001,48.39912
2018-08-01,Burtinle,7.802199000000001,48.39912
2018-09-01,Burtinle,7.802199000000001,48.39912
2018-10-01,Burtinle,7.802199000000001,48.39912
2018-11-01,Burtinle,7.802199000000001,48.39912
2018-12-01,Burtinle,7.802199000000001,48.39912
2019-01-01,Burtinle,7.802199000000001,48.39912
2019-02-01,Burtinle,7.802199000000001,48.39912
2019-03-01,Burtinle,7.802199000000001,48.39912
2019-04-01,Burtinle,7.802199000000001,48.39912
2019-05-01,Burtinle,7.802199000000001,48.39912
2019-06-01,Burtinle,7.802199000000001,48.39912
2019-07-01,Burtinle,7.802199000000001,48.39912
2019-08-01,Burtinle,7.802199000000001,48.39912
2019-09-01,Burtinle,7.802199000000001,48.39912
2019-10-01,Burtinle,7.802199000000001,48.39912
2019-11-01,Burtinle,7.802199000000001,48.39912
2019-12-01,Burtinle,7.802199000000001,48.39912
2020-01-01,Burtinle,7.802199000000001,48.39912
2020-02-01,Burtinle,7.802199000000001,48.39912
2016-02-01,Buuhoodle,8.460162,46.66129
2016-03-01,Buuhoodle,8.460162,46.66129
2016-04-01,Buuhoodle,8.460162,46.66129
2016-05-01,Buuhoodle,8.460162,46.66129
2016-06-01,Buuhoodle,8.460162,46.66129
2016-07-01,Buuhoodle,8.460162,46.66129
2016-08-01,Buuhoodle,8.460162,46.66129
2016-09-01,Buuhoodle,8.460162,46.66129
2016-10-01,Buuhoodle,8.460162,46.66129
2016-11-01,Buuhoodle,8.460162,46.66129
2016-12-01,Buuhoodle,8.460162,46.66129
2017-01-01,Buuhoodle,8.460162,46.66129
2017-02-01,Buuhoodle,8.460162,46.66129
2017-03-01,Buuhoodle,8.460162,46.66129
2017-04-01,Buuhoodle,8.460162,46.66129
2017-05-01,Buuhoodle,8.460162,46.66129
2017-06-01,Buuhoodle,8.460162,46.66129
2017-07-01,Buuhoodle,8.460162,46.66129
2017-08-01,Buuhoodle,8.460162,46.66129
2017-09-01,Buuhoodle,8.460162,46.66129
2017-10-01,Buuhoodle,8.460162,46.66129
2017-11-01,Buuhoodle,8.460162,46.66129
2017-12-01,Buuhoodle,8.460162,46.66129
2018-01-01,Buuhoodle,8.460162,46.66129
2018-02-01,Buuhoodle,8.460162,46.66129
2018-03-01,Buuhoodle,8.460162,46.66129
2018-04-01,Buuhoodle,8.460162,46.66129
2018-05-01,Buuhoodle,8.460162,46.66129
2018-06-01,Buuhoodle,8.460162,46.66129
2018-07-01,Buuhoodle,8.460162,46.66129
2018-08-01,Buuhoodle,8.460162,46.66129
2018-09-01,Buuhoodle,8.460162,46.66129
2018-10-01,Buuhoodle,8.460162,46.66129
2018-11-01,Buuhoodle,8.460162,46.66129
2018-12-01,Buuhoodle,8.460162,46.66129
2019-01-01,Buuhoodle,8.460162,46.66129
2019-02-01,Buuhoodle,8.460162,46.66129
2019-03-01,Buuhoodle,8.460162,46.66129
2019-04-01,Buuhoodle,8.460162,46.66129
2019-05-01,Buuhoodle,8.460162,46.66129
2019-06-01,Buuhoodle,8.460162,46.66129
2019-07-01,Buuhoodle,8.460162,46.66129
2019-08-01,Buuhoodle,8.460162,46.66129
2019-09-01,Buuhoodle,8.460162,46.66129
2019-10-01,Buuhoodle,8.460162,46.66129
2019-11-01,Buuhoodle,8.460162,46.66129
2019-12-01,Buuhoodle,8.460162,46.66129
2020-01-01,Buuhoodle,8.460162,46.66129
2020-02-01,Buuhoodle,8.460162,46.66129
2016-02-01,Buur Hakaba,2.485374,44.00688
2016-03-01,Buur Hakaba,2.485374,44.00688
2016-04-01,Buur Hakaba,2.485374,44.00688
2016-05-01,Buur Hakaba,2.485374,44.00688
2016-06-01,Buur Hakaba,2.485374,44.00688
2016-07-01,Buur Hakaba,2.485374,44.00688
2016-08-01,Buur Hakaba,2.485374,44.00688
2016-09-01,Buur Hakaba,2.485374,44.00688
2016-10-01,Buur Hakaba,2.485374,44.00688
2016-11-01,Buur Hakaba,2.485374,44.00688
2016-12-01,Buur Hakaba,2.485374,44.00688
2017-01-01,Buur Hakaba,2.485374,44.00688
2017-02-01,Buur Hakaba,2.485374,44.00688
2017-03-01,Buur Hakaba,2.485374,44.00688
2017-04-01,Buur Hakaba,2.485374,44.00688
2017-05-01,Buur Hakaba,2.485374,44.00688
2017-06-01,Buur Hakaba,2.485374,44.00688
2017-07-01,Buur Hakaba,2.485374,44.00688
2017-08-01,Buur Hakaba,2.485374,44.00688
2017-09-01,Buur Hakaba,2.485374,44.00688
2017-10-01,Buur Hakaba,2.485374,44.00688
2017-11-01,Buur Hakaba,2.485374,44.00688
2017-12-01,Buur Hakaba,2.485374,44.00688
2018-01-01,Buur Hakaba,2.485374,44.00688
2018-02-01,Buur Hakaba,2.485374,44.00688
2018-03-01,Buur Hakaba,2.485374,44.00688
2018-04-01,Buur Hakaba,2.485374,44.00688
2018-05-01,Buur Hakaba,2.485374,44.00688
2018-06-01,Buur Hakaba,2.485374,44.00688
2018-07-01,Buur Hakaba,2.485374,44.00688
2018-08-01,Buur Hakaba,2.485374,44.00688
2018-09-01,Buur Hakaba,2.485374,44.00688
2018-10-01,Buur Hakaba,2.485374,44.00688
2018-11-01,Buur Hakaba,2.485374,44.00688
2018-12-01,Buur Hakaba,2.485374,44.00688
2019-01-01,Buur Hakaba,2.485374,44.00688
2019-02-01,Buur Hakaba,2.485374,44.00688
2019-03-01,Buur Hakaba,2.485374,44.00688
2019-04-01,Buur Hakaba,2.485374,44.00688
2019-05-01,Buur Hakaba,2.485374,44.00688
2019-06-01,Buur Hakaba,2.485374,44.00688
2019-07-01,Buur Hakaba,2.485374,44.00688
2019-08-01,Buur Hakaba,2.485374,44.00688
2019-09-01,Buur Hakaba,2.485374,44.00688
2019-10-01,Buur Hakaba,2.485374,44.00688
2019-11-01,Buur Hakaba,2.485374,44.00688
2019-12-01,Buur Hakaba,2.485374,44.00688
2020-01-01,Buur Hakaba,2.485374,44.00688
2020-02-01,Buur Hakaba,2.485374,44.00688
2016-02-01,Cabudwaaq,5.826085,46.125
2016-03-01,Cabudwaaq,5.826085,46.125
2016-04-01,Cabudwaaq,5.826085,46.125
2016-05-01,Cabudwaaq,5.826085,46.125
2016-06-01,Cabudwaaq,5.826085,46.125
2016-07-01,Cabudwaaq,5.826085,46.125
2016-08-01,Cabudwaaq,5.826085,46.125
2016-09-01,Cabudwaaq,5.826085,46.125
2016-10-01,Cabudwaaq,5.826085,46.125
2016-11-01,Cabudwaaq,5.826085,46.125
2016-12-01,Cabudwaaq,5.826085,46.125
2017-01-01,Cabudwaaq,5.826085,46.125
2017-02-01,Cabudwaaq,5.826085,46.125
2017-03-01,Cabudwaaq,5.826085,46.125
2017-04-01,Cabudwaaq,5.826085,46.125
2017-05-01,Cabudwaaq,5.826085,46.125
2017-06-01,Cabudwaaq,5.826085,46.125
2017-07-01,Cabudwaaq,5.826085,46.125
2017-08-01,Cabudwaaq,5.826085,46.125
2017-09-01,Cabudwaaq,5.826085,46.125
2017-10-01,Cabudwaaq,5.826085,46.125
2017-11-01,Cabudwaaq,5.826085,46.125
2017-12-01,Cabudwaaq,5.826085,46.125
2018-01-01,Cabudwaaq,5.826085,46.125
2018-02-01,Cabudwaaq,5.826085,46.125
2018-03-01,Cabudwaaq,5.826085,46.125
2018-04-01,Cabudwaaq,5.826085,46.125
2018-05-01,Cabudwaaq,5.826085,46.125
2018-06-01,Cabudwaaq,5.826085,46.125
2018-07-01,Cabudwaaq,5.826085,46.125
2018-08-01,Cabudwaaq,5.826085,46.125
2018-09-01,Cabudwaaq,5.826085,46.125
2018-10-01,Cabudwaaq,5.826085,46.125
2018-11-01,Cabudwaaq,5.826085,46.125
2018-12-01,Cabudwaaq,5.826085,46.125
2019-01-01,Cabudwaaq,5.826085,46.125
2019-02-01,Cabudwaaq,5.826085,46.125
2019-03-01,Cabudwaaq,5.826085,46.125
2019-04-01,Cabudwaaq,5.826085,46.125
2019-05-01,Cabudwaaq,5.826085,46.125
2019-06-01,Cabudwaaq,5.826085,46.125
2019-07-01,Cabudwaaq,5.826085,46.125
2019-08-01,Cabudwaaq,5.826085,46.125
2019-09-01,Cabudwaaq,5.826085,46.125
2019-10-01,Cabudwaaq,5.826085,46.125
2019-11-01,Cabudwaaq,5.826085,46.125
2019-12-01,Cabudwaaq,5.826085,46.125
2020-01-01,Cabudwaaq,5.826085,46.125
2020-02-01,Cabudwaaq,5.826085,46.125
2016-02-01,Cadaado,6.130694,47.03673
2016-03-01,Cadaado,6.130694,47.03673
2016-04-01,Cadaado,6.130694,47.03673
2016-05-01,Cadaado,6.130694,47.03673
2016-06-01,Cadaado,6.130694,47.03673
2016-07-01,Cadaado,6.130694,47.03673
2016-08-01,Cadaado,6.130694,47.03673
2016-09-01,Cadaado,6.130694,47.03673
2016-10-01,Cadaado,6.130694,47.03673
2016-11-01,Cadaado,6.130694,47.03673
2016-12-01,Cadaado,6.130694,47.03673
2017-01-01,Cadaado,6.130694,47.03673
2017-02-01,Cadaado,6.130694,47.03673
2017-03-01,Cadaado,6.130694,47.03673
2017-04-01,Cadaado,6.130694,47.03673
2017-05-01,Cadaado,6.130694,47.03673
2017-06-01,Cadaado,6.130694,47.03673
2017-07-01,Cadaado,6.130694,47.03673
2017-08-01,Cadaado,6.130694,47.03673
2017-09-01,Cadaado,6.130694,47.03673
2017-10-01,Cadaado,6.130694,47.03673
2017-11-01,Cadaado,6.130694,47.03673
2017-12-01,Cadaado,6.130694,47.03673
2018-01-01,Cadaado,6.130694,47.03673
2018-02-01,Cadaado,6.130694,47.03673
2018-03-01,Cadaado,6.130694,47.03673
2018-04-01,Cadaado,6.130694,47.03673
2018-05-01,Cadaado,6.130694,47.03673
2018-06-01,Cadaado,6.130694,47.03673
2018-07-01,Cadaado,6.130694,47.03673
2018-08-01,Cadaado,6.130694,47.03673
2018-09-01,Cadaado,6.130694,47.03673
2018-10-01,Cadaado,6.130694,47.03673
2018-11-01,Cadaado,6.130694,47.03673
2018-12-01,Cadaado,6.130694,47.03673
2019-01-01,Cadaado,6.130694,47.03673
